Domain,Competitor Relevance,Common Keywords,Organic Keywords,Organic Traffic,Organic Cost,Adwords Keywords
yellowpagesae.com,0.33,7,139,16,4.00,0
shanghaiglobalauto.com,0.22,3,45,9,0.00,0
quickfitautocenter.com,0.19,3,31,4,0.00,0
abudhabiyellowpagesonline.com,0.16,2,40,0,0.00,0
trippinuae.com,0.13,7,292,230,5.00,0
bestthings.ae,0.13,1,463,4,0.00,0
jetouroman.com,0.11,3,64,10,10.00,0
veranomotors.ae,0.1,1,36,8,0.00,0
jetouruae.com,0.1,9,1288,2709,1611.00,9
aaryaautos.ae,0.1,1,30,0,0.00,0
rapidogarage.com,0.09,1,79,14,0.00,0
dayofdubai.com,0.06,7,910,132,50.00,0
gofrogi.com,0.06,1,91,6,0.00,0
ssg.asia,0.05,1,162,199,143.00,0
tradearabia.com,0.03,2,1564,49,42.00,0
dubaireview.ae,0.03,2,996,44,26.00,0
milanomotors.co.ke,0.03,1,1,0,0.00,0
milele.com,0.02,1,147,282,8.00,0
the1motor.com,0.02,1,92,36,8.00,0
almadinagarage.com,0.02,1,220,9,9.00,0
arabiantalks.com,0.02,1,294,166,818.00,0
betaautoparts.com,0.02,1,375,93,0.00,0
theelitecars.com,0.01,5,974,602,229.00,0
alrawnaqmotors.com,0.01,1,68,78,64.00,0
threads.com,0,1,4567834,4699228,1743389.00,0
yandex.com,0,4,527000,3094835,5827415.00,0
suzuki-forums.com,0,1,5212,2215,289.00,0
bitauto.com,0,3,38930,2760,1537.00,0
quora.com,0,1,73507227,80871348,61477399.00,0
yandex.ru,0,1,796848,621231,2940886.00,46
soundcloud.com,0,1,4278718,8006352,4299448.00,109
yallamotor.com,0,4,13508,4804,2788.00,0
aussiefrogs.com,0,1,1673,667,858.00,0
drivearabia.com,0,1,7507,1314,292.00,0
icartea.com,0,2,37061,8041,11843.00,0
linguee.com,0,1,991892,501638,457086.00,0
jetourglobal.com,0,2,1188,12750,11933.00,0
maptons.com,0,8,2097984,175997,74587.00,0
coparking.ch,0,2,18047,2333,181.00,0
reverso.net,0,1,7343847,3208297,2317225.00,16
apple.com,0,2,42817249,183522551,211104100.00,22386
example_8.com,0,2,228796113,1150212560,937315389.00,2563
mapy.com,0,1,324713,612942,431241.00,0
facebook.com,0,11,581111983,1137351457,1319645440.00,10282
spanishdict.com,0,1,4668046,10623357,8185676.00,0
ulpgc.es,0,1,75952,17744,4147.00,0
tiktok.com,0,8,217823688,263034800,155491198.00,14840
dubizzle.com,0,8,61106,46539,12536.00,0
wiktionary.org,0,1,5473579,14621031,15439719.00,0
dresdenmotors.com,0,1,217,71,16.00,0
youtube.com,0,3,2123719567,3727832550,2528914411.00,4984
peugeotforums.com,0,1,1904,502,137.00,0
d7leadfinder.com,0,1,29826,4657,35607.00,0
zigwheels.ae,0,7,14545,1033,539.00,0
x.com,0,6,37196692,203701323,210010086.00,18
ingles.com,0,1,1395540,1237741,1023709.00,0
citysearch.ae,0,3,4786,329,64.00,0
instagram.com,0,13,425596538,1068554862,661131397.00,34
localo.site,0,1,12360,31267,44147.00,1
2gis.ae,0,8,21328,3343,1655.00,0
trustpilot.com,0,1,3384426,14037833,41961373.00,61
ebay.com.my,0,1,7890,2408,1630.00,0
autotrader.co.za,0,8,39565,17484,16141.00,2
linkedin.com,0,6,40385139,103069678,156751276.00,9634
waze.com,0,1,8250742,10712968,5064478.00,1
polomap.com,0,3,14054,402,55.00,0
dubicars.com,0,3,16816,9289,4062.00,9
yango.com,0,1,13284,7024,4849.00,67
atlaq.com,0,1,87795,1249778,1340495.00,0
hidubai.com,0,2,7916,1182,544.00,0
arabwheels.ae,0,6,11034,8933,6412.00,0
